"","X","Name","Type","Longitude","Latitude","Address"
"156",156,"253 Simei Street 1","Taxi Stand",103.952911314744,1.34231032228659,"253 Simei Street 1, Block 253, Singapore 520253"
"157",157,"3150 Commonwealth Ave W","Taxi Stand",103.765478777983,1.31411689332787,"3150 Commonwealth Ave W, Clementi, Singapore 129580"
"158",158,"20B Jln Leban","Taxi Stand",103.829205483105,1.37191550686817,"20B Jln Leban, Singapore 577557"
"159",159,"80 Mandai Lake Rd","Taxi Stand",103.790504374364,1.40472408659443,"80 Mandai Lake Rd, Singapore 729826"
"160",160,"378 Alexandra Rd","Taxi Stand",103.801362014899,1.28643009128417,"378 Alexandra Rd, Singapore 159964"
"161",161,"35 Dover Rd","Taxi Stand",103.783722064332,1.29829202091716,"35 Dover Rd, Block 35, Singapore 130035"
"162",162,"375 Commonwealth Ave","Taxi Stand",103.798007045081,1.30240889879745,"375 Commonwealth Ave, Commonwealth, Singapore 149735"
"163",163,"301 Boon Lay Way","Taxi Stand",103.706918281143,1.3389529377122,"301 Boon Lay Way, Boon Lay, Singapore 649846"
"164",164,"168 Queensway","Taxi Stand",103.803513206868,1.28819850640069,"168 Queensway, Singapore"
"165",165,"9 Bras Basah Rd","Taxi Pick Up / Drop Off",103.849255177626,1.29883906760171,"9 Bras Basah Rd, #01-01, Singapore 189559"
"166",166,"10 Jervois Rd","Taxi Stand",103.825125337992,1.29334803976278,"10 Jervois Rd, Singapore 249000"
"167",167,"Pasir Ris Dr 1","Taxi Stand",103.948703239263,1.37239405588225,"Pasir Ris Dr 1, Pasir Ris, Singapore"
"168",168,"416 Eunos Rd 5","Taxi Stand",103.897691045855,1.31767351130514,"416 Eunos Rd 5, Singapore 400416"
"169",169,"506936","Taxi Stand",103.986870369042,1.38969082862757,"506936, 31 Changi Village Rd, Singapore 506936"
"170",170,"211 Old Airport Rd","Taxi Stand",103.8892188709,1.30860413753134,"211 Old Airport Rd, Singapore 397971"
"171",171,"693 New Upper Changi Rd","Taxi Stand",103.946055161685,1.32671150642131,"693 New Upper Changi Rd, Singapore 467348"
"172",172,"27 Selegie Rd","Taxi Stand",103.849689598955,1.30055929763924,"27 Selegie Rd, Singapore 188306"
"173",173,"413 Serangoon Central","Taxi Stand",103.87414234841,1.34945201192189,"413 Serangoon Central, Singapore 550413"
"174",174,"Little India","Taxi Stand",103.849587840631,1.30543468538437,"Little India, Singapore"
"175",175,"68 Orchard Rd","Taxi Stand",103.845233591636,1.30054238158116,"68 Orchard Rd, Singapore 238839"
"176",176,"2 Handy Rd","Taxi Stand",103.847482779683,1.29916957658487,"2 Handy Rd, Singapore 229233"
"177",177,"9 Penang Rd","Taxi Stand",103.844897557365,1.29815276760252,"9 Penang Rd, Singapore 238459"
"178",178,"178 Clemenceau Ave","Taxi Stand",103.843952897604,1.29701855174079,"178 Clemenceau Ave, Singapore 239926"
"179",179,"1A Short St","Taxi Stand",103.850958035546,1.30294684167157,"1A Short St, Singapore 188210"
"180",180,"151 Waterloo St","Taxi Stand",103.852669234664,1.29999408803421,"151 Waterloo St, Singapore 187960"
"181",181,"70 Stamford Rd","Taxi Stand",103.850405223987,1.29618030481021,"70 Stamford Rd, Singapore 178901"
"182",182,"90 Stamford Rd","Taxi Stop",103.849155884718,1.29770899463174,"90 Stamford Rd, Singapore 178903"
"183",183,"80 Stamford Rd","Taxi Stop",103.849319274264,1.29746231944587,"80 Stamford Rd, Singapore 178902"
"184",184,"76 Bras Basah Rd","Taxi Pick Up / Drop Off",103.852593234787,1.29572335827205,"76 Bras Basah Rd, Singapore 189558"
"185",185,"8R4C+W2 Singapore","Taxi Stand",103.820099996289,1.30730541783937,"8R4C+W2 Singapore"
"186",186,"649A Jurong West Street 61","Taxi Stand",103.697628395367,1.33775966226678,"649A Jurong West Street 61, Block 649A, Singapore 641649"
"187",187,"30 Bencoolen St","Taxi Stop",103.850268644471,1.2984373180578,"30 Bencoolen St, Singapore 189621"
"188",188,"8Q4Q+H8 Singapore","Taxi Stand",103.788253655416,1.3064538993834,"8Q4Q+H8 Singapore"
"189",189,"3 Mount Elizabeth","Taxi Pick Up / Drop Off",103.835903782532,1.30464181984175,"3 Mount Elizabeth, Singapore 228510"
"190",190,"8V3G+GR Singapore","Taxi Stand",103.877026783749,1.30380165270671,"8V3G+GR Singapore"
