"","ADDRESSBLOCKHOUSENUMBER","LATITUDE","EST_ORIGINAL_COMPLETION_DATE","STATUS","APPROXIMATE_GFA","LONGITUDE","INFO_ON_CO_LOCATORS","AWARDED_DATE","LANDYADDRESSPOINT","PHOTOURL","DESCRIPTION","NAME","ADDRESSTYPE","ADDRESSBUILDINGNAME","HUP_COMPLETION_DATE","LANDXADDRESSPOINT","ADDRESSSTREETNAME","ADDRESSPOSTALCODE","IMPLEMENTATION_DATE","ADDRESS_MYENV","INC_CRC","FMEL_UPD_D"
"91","7",1.31624573118373,"26/3/1976","Existing","",103.805636386821,"","","33169.3","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262152572393.jpg","HUP Standard Upgrading","Empress Road Market and Food Centre","I","","2/12/2008","24919.24","Empress Road","260007","","Blk 7, Empress Road, Singapore 260007","2DAAEFC79D87F782","20210330151704"
"92","4A",1.32033178221424,"7/7/2000","Existing","",103.904260878989,"","","33621.21","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267873497497.jpg","HUP Standard Upgrading","Eunos Crescent Blk 4A","I","","30/3/2012","35895.18","Eunos Crescent","402004","","Blk 4A, Eunos Crescent, Singapore 402004","E0DC5CBB9268718E","20210330151704"
"93","69",1.32146226027018,"16/1/1974","Existing","",103.870004415152,"","","33746.13","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-69-geylang-bahru.jpg","Opted out of HUP","Blk 69 Geylang Bahru Market and Food Centre","I","","","32082.77","Geylang Bahru","330069","","Blk 69, Geylang Bahru, Singapore 330069","1CDA71371CC2DA75","20210330151704"
"94","",1.3167281476983,"3/7/2009","Existing","11534.9",103.898224315881,"","","33222.72","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155542468.jpg","HUP Rebuilding","Geylang Serai Market","I","","3/7/2009","35223.38","Geylang Serai","402001","","1, Geylang Serai, Singapore 402001","A247BF61FBD3E2E3","20210330151704"
"95","20",1.31099627311591,"24/1/1977","Existing","",103.788230657145,"","","32588.87","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267848628803.jpg","Opted out of HUP","Ghim Moh Road Blk 20","I","","","22982.14","Ghim Moh Road","270020","","Blk 20, Ghim Moh Road, Singapore 270020","8A5C1B47E9725C03","20210330151704"
"96","505",1.30287548090781,"1975","Existing","6249.229",103.863883249985,"","","31690.89","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155571228.jpg","HUP Standard Upgrading","Golden Mile Food Centre","I","","4/7/2002","31401.57","Beach Road","199583","","505, Beach Road, Singapore 199583","68D2109268BB12D3","20210330151704"
"97","13/14",1.3151420505272,"30/7/1977","Existing","",103.895609494855,"","","33047.33","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267848993155.jpg","HUP Reconfiguration","Haig Road Market and Cooked Food Centre","I","","4/8/2010","34932.38","Haig Road","430013","","Blk 13/14, Haig Road, Singapore 430013/430014","110148A54339D2AF","20210330151704"
"98","22A/B",1.28797543998733,"16/11/1969","Existing","",103.829626834637,"","","30043.3","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262152823428.jpg","HUP Standard Upgrading","Havelock Road Cooked Food Centre","I","","27/4/2007","27589.14","Havelock Road","161022","","Blk 22A/B, Havelock Road, Singapore 161022/162022","1CFBA3CBF816CC4F","20210330151704"
"99","44",1.30811775909823,"31/1/1999","Existing","",103.792773765463,"","","32270.57","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267849222112.jpg","HUP Standard Upgrading","Holland Drive Market and Food Centre","I","","31/3/2014","23487.74","Holland Drive","270044","","Blk 44, Holland Drive, Singapore 270044","A15ED2B9E5ED3A17","20210330151704"
"100","1",1.31090802808558,"Pre-War","Existing","1512.38",103.794862936127,"","","32579.100000000002","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267415509849.jpg","HUP Rebuilding","Holland Village Market and Food Centre","I","","12/12/2005","23720.25","Lorong Mambong","277700","","1, Lorong Mambong, Singapore 277700","69A5ED12F17FF1A2","20210330151704"
"101","105",1.35383739101169,"30/6/1982","Existing","",103.890081064953,"","","37326.05","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901634108.jpg","HUP Rebuilding","Hougang 105 Hainanese Village Centre","I","","11/11/2005","34317.020000000004","Hougang Ave 1","530105","","Blk 105, Hougang Ave 1, Singapore 530105","47665F14287E07ED","20210330151704"
"102","209",1.35911942212642,"30/9/1983","Existing","",103.885977616903,"","","37910.1","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267849628846.jpg","HUP Standard Upgrading","Kovan Hougang Market and Food Centre","I","","24/1/2011","33860.340000000004","Hougang Street 21","530209","","Blk 209, Hougang Street 21, Singapore 530209","5F6AEDB798290159","20210330151704"
"103","4A",1.30241881353449,"3/1/1969","Existing","",103.88394058022,"","","31640.43","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267874223880.jpg","HUP Standard Upgrading","Blk 4A Jalan Batu Hawker Centre/Market","I","","16/2/2012","33633.770000000004","Jalan Batu","432004","","Blk 4A, Jalan Batu, Singapore 432004","551478E060A1C8F0","20210330151704"
"104","112",1.28000481198881,"1/1/1969","Existing","",103.826013285715,"","","29161.95","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267874698833.jpg","HUP Standard Upgrading","Blk 112 Jalan Bukit Merah Market and Food Centre","I","","28/11/2013","27186.98","Jalan Bukit Merah","160112","","Blk 112, Jalan Bukit Merah, Singapore 160112","F6CA40B9C5AB229D","20210330151704"
"105","6",1.28695275198944,"11/10/1974","Existing","",103.808127999318,"","","29930.23","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267760203.jpg","HUP Reconfiguration","ABC Brickworks Market/Food Centre","I","","11/8/2006","25196.5","Jalan Bukit Merah","150006","","Blk 6, Jalan Bukit Merah, Singapore 150006","D9BD256FB27FC06C","20210330151704"
"106","1",1.28823055540002,"21/1/1969","Existing","",103.839945947186,"","","30071.510000000002","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267874440744.jpg","HUP Standard Upgrading","Kukoh 21 Food Centre","I","","4/10/2010","28737.57","Jalan Kukoh","161001","","Blk 1, Jalan Kukoh, Singapore 161001","8943084A1D332148","20210330151704"
"107","347",1.34531247026793,"17/10/1984","Existing","",103.731579747132,"","","36383.57","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275537901886.jpg","HUP Standard Upgrading","Yuhua Market and Hawker Centre","I","","31/12/2002","16677.58","Jurong East Ave 1","600347","","Blk 347, Jurong East Ave 1, Singapore 600347","6C864243CCBEA1C0","20210330151704"
"108","254",1.34344213770991,"30/4/1983","Existing","",103.737781231485,"","","36176.73","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265167615307.jpg","HUP Reconfiguration","Yuhua Village Market and Food Centre","I","","5/7/2006","17367.73","Jurong East Street 24","600254","","Blk 254, Jurong East Street 24, Singapore 600254","037A6F1E0D6FBE79","20210330151704"
"109","505",1.34964224318434,"16/1/1985","Existing","",103.71844754363,"","","36862.4","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155040710.jpg","HUP Standard Upgrading","Jurong West Street 52 Blk 505","I","","2/1/2009","15216.130000000001","Jurong West Street 52","640505","","Blk 505, Jurong West Street 52, Singapore 640505","0AE38DCCD1264CB7","20210330151704"
"110","17",1.30739616009942,"1959","Existing","2629.19",103.884130183315,"","","32190.8","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155698415.jpg","HUP Standard Upgrading","Kallang Estate Fresh Market and Food Centre","I","","31/10/2003","33654.86","Old Airport Road","397972","","17, Old Airport Road, Singapore 397972","2F0C253383E628A3","20210330151704"
"111","676",1.43993283228134,"8/5/2017","Existing (new)","3440",103.800696448529,"studio apartments/supermarket/shops/specialist centre/senior care centre/child care centre/senior activity centre","17/10/2014","46846","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/kampung-admiralty-hawker-centre.jpg","New Centre","Kampung Admiralty Hawker Centre","","Kampung Admiralty","","24369.66","Woodlands Drive 71","730676","1/4/2014","Blk 676, Woodlands Drive 71, Singapore 730676","8E56FA1F3FFB53FC","20210330151704"
"112","84",1.30228513841822,"23/8/1976","Existing","",103.906338526157,"","","31625.71","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267875360164.jpg","Opted out of HUP","84 Marine Parade Central Market and Food Centre","I","","","36126.46","Marine Parade Central","440084","","Blk 84, Marine Parade Central, Singapore 440084","069C7A0A2A7BDE00","20210330151704"
"113","50A",1.30577514781108,"3/3/1975","Existing","",103.915761950557,"","","32011.65","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153165514.jpg","HUP Standard Upgrading","50A Marine Terrace","I","","22/12/2008","37175.19","Marine Terrace","441050","","Blk 50A, Marine Terrace, Singapore 441050","6834B49032645709","20210330151704"
